model,WAIC,low_SE,high_SE,
Full model,38668.70646,38393.57528,38943.83765,
Alternative 1,40325.64016,40038.02375,40613.25656,
Alternative 2,40620.61976,40332.41384,40908.82569,
Alternative 3,40963.44812,40674.39309,41252.50314,
Alternative 4,41100.36,40811.13,41389.59,289.23
Alternative 5,45268.27,44979.04,45557.5,289.23
